customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Region,Age,Churn
C0001,Male,1,Yes,Yes,9,North,41.0,Yes
C0002,Female,0,No,No,19,West,64.0,No
C0003,Male,0,Yes,No,12,West,23.0,No
C0004,Male,0,Yes,No,27,North,44.0,No
C0005,Male,0,No,No,58,North,27.0,No
C0006,Female,0,Yes,No,25,South,56.0,Yes
C0007,Male,0,No,No,45,North,54.0,No
C0008,Male,0,Yes,No,48,East,71.0,No
C0009,Male,0,No,Yes,50,North,68.0,No
C0010,Female,0,No,No,44,North,77.0,No
C0011,Male,1,,Yes,59,South,89.0,No
C0012,Male,1,No,No,33,West,68.0,No
C0013,Male,0,No,No,28,South,79.0,No
C0014,Male,0,No,No,18,South,66.0,Yes
C0015,Female,1,Yes,,55,West,68.0,No
C0016,Male,0,Yes,No,33,East,45.0,No
C0017,Female,1,No,Yes,15,South,53.0,Yes
C0018,Female,0,No,Yes,61,South,42.0,No
C0019,Female,0,No,No,11,North,53.0,No
C0020,Male,0,No,Yes,36,East,77.0,No
C0021,Female,1,No,No,15,South,24.0,Yes
C0022,Male,0,,,53,South,82.0,Yes
C0023,Female,0,,No,62,North,90.0,No
C0024,Female,0,Yes,No,48,South,,No
C0025,Female,0,Yes,No,15,East,90.0,Yes
C0026,Female,0,No,No,63,North,47.0,No
C0027,Female,0,No,No,43,North,64.0,No
C0028,Female,1,No,No,50,West,46.0,No
C0029,Female,0,Yes,No,60,East,,No
C0030,Female,0,Yes,No,59,North,82.0,No
C0031,Male,0,Yes,Yes,15,East,86.0,Yes
C0032,Male,0,No,No,29,North,80.0,No
C0033,Female,0,,No,40,East,73.0,No
C0034,Female,0,Yes,Yes,31,East,34.0,No
C0035,Female,0,Yes,No,11,East,68.0,No
C0036,Male,1,Yes,No,62,East,54.0,Yes
C0037,Female,1,No,No,8,North,26.0,No
C0038,Male,0,Yes,No,51,East,55.0,No
C0039,Male,1,Yes,Yes,57,North,,No
C0040,Male,0,Yes,No,4,South,30.0,No
C0041,Male,0,Yes,No,36,West,70.0,No
C0042,Male,0,No,No,19,East,66.0,Yes
C0043,Female,0,No,No,24,West,87.0,No
C0044,Female,0,Yes,Yes,41,North,52.0,No
C0045,Female,1,No,No,49,South,33.0,No
C0046,Female,0,Yes,Yes,46,North,30.0,No
C0047,Female,1,No,Yes,36,East,28.0,No
C0048,Male,0,Yes,Yes,10,North,19.0,Yes
C0049,Female,0,Yes,,7,North,36.0,Yes
C0050,Female,1,No,Yes,12,South,62.0,No
C0051,Male,0,No,No,48,East,63.0,No
C0052,Female,0,No,No,37,North,64.0,No
C0053,Male,0,Yes,Yes,36,West,66.0,No
C0054,Female,0,Yes,Yes,60,North,59.0,No
C0055,Male,0,No,No,8,North,50.0,No
