customerID,ContractType,MonthlyCharges,TotalCharges,PaymentMethod,InternetService
C5239,One year,92.14,2601.07,Bank transfer,Fiber optic
C0913,Month-to-month,55.97,557.36,Credit card,
C0205,Month-to-month,25.11,17.37,Electronic check,
C2254,One year,28.65,965.43,Electronic check,DSL
C2007,Month-to-month,66.61,2655.03,Credit card,DSL
C1829,Month-to-month,110.91,1301.99,Electronic check,Fiber optic
C1144,One year,54.21,485.49,Electronic check,Fiber optic
C0840,Month-to-month,104.27,4029.05,Bank transfer,DSL
C4468,Month-to-month,26.13,987.04,Electronic check,DSL
C0713,Month-to-month,63.31,3075.08,Credit card,Fiber optic
C4838,One year,34.02,2011.36,Bank transfer,DSL
C3457,One year,114.99,,Electronic check,None
C0261,One year,126.47,1710.5,Electronic check,DSL
C0245,Month-to-month,55.82,131.62,Electronic check,DSL
C0768,One year,128.77,269.9,Bank transfer,None
C1792,Two year,102.75,2219.08,Credit card,Fiber optic
C1906,One year,20.14,645.68,Electronic check,DSL
C4140,Month-to-month,73.38,755.35,Electronic check,Fiber optic
C4932,One year,111.75,1464.88,Credit card,DSL
C0218,One year,78.73,1123.91,Bank transfer,Fiber optic
C4598,Two year,80.5,3123.76,Credit card,DSL
C1629,One year,69.25,3354.51,Electronic check,
C5324,One year,63.45,3160.19,Credit card,Fiber optic
C4465,One year,23.01,908.22,Electronic check,Fiber optic
C3437,Month-to-month,88.39,3393.93,Electronic check,Fiber optic
C1806,Month-to-month,104.34,5809.66,Mailed check,DSL
C3680,Month-to-month,106.92,1273.12,Electronic check,None
C4828,Month-to-month,88.71,3450.31,Electronic check,DSL
C2279,One year,57.54,250.64,Electronic check,DSL
C0054,Month-to-month,22.49,1731.33,Electronic check,Fiber optic
C1308,Month-to-month,118.54,3111.07,Bank transfer,None
C3463,Month-to-month,67.2,318.12,Electronic check,DSL
C2788,Month-to-month,86.13,6903.39,Credit card,None
C2277,One year,41.4,727.27,Credit card,Fiber optic
C1274,One year,35.62,456.21,Credit card,Fiber optic
C1764,Two year,29.55,10.09,Electronic check,
C2758,Month-to-month,107.86,1883.24,Electronic check,DSL
C0838,Month-to-month,91.11,277.25,Credit card,None
C0760,Two year,88.33,1370.94,Electronic check,DSL
C3113,Month-to-month,121.13,792.89,Credit card,Fiber optic
C0793,One year,37.46,2805.88,Bank transfer,Fiber optic
C2941,One year,38.73,1469.66,Credit card,Fiber optic
C2818,Month-to-month,40.84,8.14,Credit card,Fiber optic
C4946,Month-to-month,66.57,1689.06,Electronic check,DSL
C2167,Month-to-month,116.16,7990.9,Electronic check,Fiber optic
C0356,Two year,116.96,6315.61,Mailed check,Fiber optic
C3764,Month-to-month,84.96,3589.47,Electronic check,None
C4393,Month-to-month,92.4,3168.57,Electronic check,DSL
C1023,Month-to-month,118.75,4133.66,Mailed check,Fiber optic
