customerID,NbContacts,LastContactDays,SatisfactionScore,FeedbackText
C2309,3.0,17,3.0,Great service and fair price Email support replies after some adys Got a minor outage last ewek!!
C2840,2.0,29,1.0,"Great service and fair price Good value for the money No issues lately, satisfied customer"
C3309,4.0,63,4.0,EMAIL SUPPORT REPLIES AFTER SOME DAYS SUPPORT AGENT WAS KIND AND SOLVED MY ISSUE QQUICKLY
C3324,,142,3.0,Email support replies after some days Average experience so afr
C4751,0.0,42,3.0,Got a minor outaage last week
C5369,3.0,67,5.0,Great servce and fair price
C0098,2.0,88,3.0,Great service and fair price Sometimees the speed drops at night!!!
C3867,2.0,83,4.0,Average experience so far Price is a bit high compared to others
C5359,2.0,87,5.0,Great service and fair pice
C4200,1.0,125,5.0,Latenncy and disconnects make it impossible to work Installation took longer than expected
C1223,2.0,150,4.0,"The new router works well, stable connection"
C3257,4.0,63,5.0,"HONESTLY, GOOD VALUE FOR THE MONEY SERVICE IS OKAY BUT OCULD BE BETTER"
C1865,1.0,24,3.0,Sometimes the speed drops at night
C1859,4.0,147,3.0,Happy with the internet speed and support OOccasional hiccups but nothing too bad!!
C1720,2.0,77,3.0,"Everything works fine for or family Good service overall, nothing mjaor to complain about"
C3887,4.0,33,3.0,Email support replies after some dasy
C1915,1.0,173,4.0,"Everything works fine for our family No issues lately, satisfied customer"
C4226,3.0,121,1.0,Happy with hte internet speed and support
C4809,1.0,150,5.0,Great service and fair price
C4528,1.0,143,5.0,"Haappy with the internet speed and support No issues lately, satisfied customer"
C3840,0.0,113,2.0,"Installation took longer than expected Helpful chaat support, fast resolution Sometimes the speed drops at night!"
C3780,,93,3.0,"HONESTLY, HAPPY WITH THE INTERNET SPEED AND SUPPORT BILLING IS CLEAR AND CORRECT EACH MONTH THANK YOU."
C2791,1.0,135,5.0,Instaallation took longer than expected!!!
C0704,3.0,36,2.0,Support agent was kind and solved my issue quickly Installation otok longer than expected
C2565,3.0,129,5.0,"It works, not amazing, not terrible Occasional hiccups but nothing oo bad Thank you."
C1539,2.0,67,,Everything works fine for oru family
C3513,2.0,21,5.0,"Price is a bti high compared to others It works, not amazing, not terrible"
C3422,4.0,130,2.0,Got a minor uotage last week
C1717,1.0,55,4.0,"HONESTLY, IT WORKS, NOT AMAZING, NOT TERRRIBLE TOO EXPENSIVE FOR POOR QUALITY, THINKING TO CANCEL SERVICE IS OKAY BUT COULD BE BETTER"
C3594,2.0,91,2.0,Good value for the money Service is oky but could be bettre
C3687,4.0,117,,Support agent was kind and solved my issue quickly Thank you.
C4575,1.0,45,4.0,"Email support replies after some days Too expensive for poor quality, thinking to cancel They overcharged me twice and ignored my emails"
C0247,1.0,139,,Got a minor outage last week
C3070,1.0,27,1.0,Support agennt was kind and solved my issue quickly
C1139,3.0,156,3.0,"No issues lately, satisfied customer"
C4731,7.0,160,4.0,Everything works fine for our family
C1052,2.0,164,,Sometimes the speed drops at night Installation took longer than expected
C2504,0.0,114,3.0,"Everyting works fine for our family Thak you. No issues lately, satisfied customer"
C0080,1.0,115,1.0,"Everything works fine for our family Helpful chat support, afst resolution!!!"
C4095,2.0,100,1.0,Service is okay but could be better
C5398,2.0,64,3.0,"GOOD SERVICE OVERALL, NOTHING MAJOR TO COMPLAIN ABOUT"
C2906,1.0,61,4.0,Sometimes the speed drops at night!!
C2784,0.0,21,2.0,"Billing is clear and correct each mmonth Good service overall, nothing major to complain about Good service overall, nothing major to complain about Helpful chat suppport, fast resolution"
C1848,1.0,137,4.0,"Outages every wee,k unacceptable service!!"
C3434,2.0,87,1.0,Gt a minor outage last week Thank you.!
C3488,2.0,21,,Occasional hiiccups but nothing too bad
C3305,5.0,158,3.0,"HONESTLY, VERY ABD SUPPORT, NO ONE ANSSWERS MY CALLS I HAVE OPENED SEVERAL TICKETS AND NOTHING WAS FIXED HONESTLY, SPEED NEVER MATCHES WHAT WAS PROIMSED IN THE CONTRACT THANK YOU. TERRIBLE EXPERIENCE, WORST PROVIDER I USED HANK YOU."
C4405,0.0,145,3.0,"Honestly, helpful chat support, fast resolution Helpful chat support, fast resolution Honestly, ggood service overall, nothing major to complain about!!!"
C2455,5.0,119,,"Terrible experience, worst provider I used Outages every week, unacceptable esrvice"
C2672,1.0,124,1.0,"Honestly, installaton took longer than expected"
C5449,0.0,99,5.0,"Helpful chat suport, fast resolution"
C0191,2.0,118,5.0,"BILLING ERRORS KEEP HAPPENING, I AM REALLY TIRED OF THIS"
C4650,3.0,68,2.0,OCCASIONAL HICCUPS UBT NOTHING TOO BAD THANK YOU.
C0264,4.0,41,4.0,Everything works fine for our family!!!
C1140,2.0,6,5.0,"Billng is clear and correct each month Phone line is fine, internet varies!!!"
C1260,5.0,71,3.0,"Helpful chat support, fast resolution"
C2706,2.0,135,4.0,"THHE ENW ROUTER WORKS WELL, STABLE CONNECTION IT WORKS, NOT AMAZING, NOT TERRIBLE"
C4655,0.0,110,3.0,"Good service overall, noting major to complain about!!"
C5160,,54,2.0,"Honestly, got a minor outage last week thank you. Happy with the internet speed ad support"
C4940,1.0,99,3.0,Got a miinor outage last week
C4980,3.0,86,4.0,"Honestly, occasional hiccups but nothing too bad Email support replies after some days Good value for the money"
C4702,9.0,142,5.0,"Honestly, support agent was kind and solved my issue quickly"
C3203,3.0,159,1.0,"eVry bad support, no one answers my calls Latency and disconnects make it impossible to work!"
C3124,1.0,16,4.0,Latency and disconnects make it impossible to work Speed never matches what was promisde in the contract They overcharged me twice annd ignored my emils Thank you.
C1673,4.0,76,3.0,Billing is clear and correct each month
C3201,,164,,They overcharged me twice and ignored my emails
C0522,1.0,104,,Installtion took longer than expected
C4379,3.0,38,,Good value for the money Price is a bit higgh compared to others
C3166,1.0,110,4.0,"HONESTLY, THE NEW ROUTER WORKS WELL, STABLE CONNECTION"
C1543,2.0,80,2.0,"Honestly, good service overall, nohting major to complain about"
C3890,3.0,31,2.0,"NO ISSUES LATELY, SAITSFIED CUSTOMER BILLING IS CLEAR AND CORRECT EACH MONTH"
C0890,1.0,53,5.0,Latency and disconnects maek it impossible to work
C2694,4.0,161,1.0,Average experience so far
C4666,3.0,108,,"No issues lately, satisfied customer!!!"
C3699,,157,3.0,"Phone line is fine, internet vvaries Got a minor outage last week Billing is clear and correct each month Helpful chat support, fast resolution"
C5235,1.0,16,3.0,"Honestly, sometimes the speed drops at night Email support rpelies after some days"
C2496,4.0,21,3.0,They overcharged me twice and ignored my emails They overcharged me twice and igonred my emails
C0764,4.0,122,4.0,"Very bad support, no one answers my calls"
C1405,,124,5.0,Servicce is okay but could be better
C0855,1.0,146,,Good value foor the money Thank you.!!
C4530,4.0,168,2.0,verything works fine for our family!!
C1456,,98,3.0,Internet is slow and unstable almost evrey evening
C0263,5.0,61,3.0,Good value for the money
C4943,,3,5.0,Sometimes the speed drops at night Everything works fine for our family Hppy with the internet speed and support
C4003,2.0,43,4.0,"Honestly, installation took longer than expected Good value for thhe money"
C0220,3.0,75,,They overcharged me twice and igonred my emails
C1530,4.0,172,,Happy with the internet sspeed and support Good value for he money
C1631,2.0,87,3.0,Great service and fair priec
C0570,1.0,64,2.0,"Honestly, speed ever matches what was promised in the contract Terrible exxperience, worst provider I used!"
C3162,1.0,138,1.0,Speed never matches what was promised in the contract!!!
C2326,0.0,13,3.0,Support agent was kind adn solved my issue quickly!!
C1687,4.0,67,3.0,"Too expensive for poor quality, thinking to cancel!!!"
C1910,1.0,6,3.0,"Very bad suppot, no one answers my calls Thank you."
C2385,0.0,22,4.0,"AVERAGE EXPERIENCE SO FAR HONESTLY, OCCASIONAL HICCUPS BUT NOTHING TOO BAD THANK YOU. INSTALLATION TOOK LONGER HAN EXPECTED"
C4296,2.0,100,2.0,"Happy with the internet speed and support Good service overall, nothing major to complain about!"
C0574,0.0,8,5.0,Got a minor outage last week Good value for the money
C3725,1.0,128,2.0,"Got a minor outage last weke Sometimes the speed drops at niight Good service overall, nothing major to complain about Thank you. Happy witth the internet speed and support!!!"
C0471,0.0,149,4.0,Good value for the mnoey
C3020,,71,3.0,Good value or the money
C4248,2.0,104,3.0,"Honestly, good service overall, nothing major to complain about Price is a bti high compared to others Thank you."
C0091,2.0,45,3.0,"It works, not amazing, not terrible No issues lately, satisfied customer"
C1408,3.0,143,,Good value for the money Support agent was kind and solvde my issue quickly!!
C2677,3.0,73,2.0,"Good service overall, nothing majro to complain about Good value for the money Thank you."
C3366,0.0,145,1.0,Everything works fine ofr our family
C3204,2.0,79,2.0,Gerat service and fair price
C1287,3.0,106,1.0,Happy with the internet speed aand support Good value for the money Happy witth the internet speed and support
C0908,1.0,67,1.0,"Honestly, price is a bit high compared to others The new routter works well, stable connection"
C1058,2.0,61,3.0,"Everything works fine for our family Good service overall, nothing major to commplain about"
C4395,4.0,9,1.0,"Helpful chat support, fast resoution"
C3428,2.0,162,5.0,"INTERNET IS SLOW AND UNSTBLE ALMOST EVERY EVENING TOO EXPENSIVE FOR POOR QUALITY, THINKING TO CANCEL"
C3918,5.0,75,5.0,"Honestly, service is okay but could be better Honestly, good value for the money Avreage experience so far Average experience so far Occasional hiccups but nothing too bad!"
C0564,3.0,71,4.0,Greaat service and fair price
C3187,4.0,97,5.0,"Email support reeplies after some days Thank you. Happy with the internet speed and support The new router works well, stable connection!!"
C1692,2.0,144,5.0,"Billing errors keep happening, I am realyl tired of this Internet is slow and unstable almost every evening"
C1065,2.0,171,2.0,Occasional hiccups but nothnig too bad
C1685,2.0,124,3.0,"It works, not amazing, not tterrible Thank you."
C2538,1.0,3,5.0,"EVERYTHING WORKS FINE FOR OUR FAMILY GOOD VALUE FOR THE MONEY HELPFUL CHAT SUPPORT, FAST RESOLUTION GOOD VALUE FOR THE MONEY AVERAGE EXPERIENCE SO FAR!!"
C3541,2.0,137,3.0,"Honestly, billing errors keep happening, i am really tired of this"
C5397,,24,3.0,Grat service and fair price
C1301,8.0,25,5.0,"Average experience so far Honestly, great service ad fair price"
C4946,3.0,36,5.0,"Outages every week, unacceptable servicce Latency and disconnects make it impossible to work"
C4712,0.0,63,3.0,Sometimes the speed drops at nihgt Thank you.
C2543,1.0,34,5.0,Support agent was kind and solved my ssue quickly Billing is clear and correct each moth Email support repliies after some days
C4813,5.0,164,5.0,Sometimes the speed drops at night Occasional hicccups but nothing too bad
C1663,4.0,11,5.0,"Support agent was kind and solved my issue quickly No issues lately, satisfied customer Helpful chat support, fast resolution Billing is clear and correct each month"
C4117,2.0,34,,"Good serice overall, nothig major to complain about Support agent waas kind and solved my issue quickly Occaisonal hiccups but nothing too bad"
C3760,3.0,132,3.0,"NO ISSUES LATELY, SATISFIED CUSTOMER THANK YOU.!"
C2257,4.0,16,3.0,Installtaion took longer than expected Thank you.!!
C1653,5.0,25,1.0,"Avearge exprience so far Honestly, billing is clear and correct each month Honestly, occasional hiccups but nothing too bad"
C0061,2.0,154,1.0,Everything works fine for our family Service is okay but could be better!!!
C1169,1.0,72,1.0,"Honestly, billing is clear and corerct each month"
C3652,1.0,3,4.0,Email support replies after some days
C0525,1.0,180,5.0,"Outages every week, unacceptaable service"
C3271,3.0,97,2.0,"The new router works well, stable connection Installation took longer than expectde"
C4955,1.0,33,5.0,Installation took longer than expectd
C2023,4.0,58,5.0,"The new router works well, stable connectioon"
C4308,0.0,30,3.0,"Honestly, installation took longer than expected thank you. Great service and faiir price SService is okay but could be better Good service overall, othing major to complain about Tank you."
C2695,,120,2.0,"Honestly, price is a bit high compared to others hank you."
C4664,0.0,15,,Priec is a bit high compared to others!
C4022,2.0,111,5.0,Occasional hiccups ut nothing too bad
C3770,2.0,107,5.0,Great service and fair pricce Good value for the money
C3791,1.0,159,1.0,EVERYTHING WORKS FINE FOR OUR FAMILY EVERYTHING WORKS FINE FOR OUR FAMILY
C4720,2.0,172,1.0,"Phone line is fine, internet varies Support agent was kind and solved my issue quickly Good vaalue for the money"
C0321,2.0,137,3.0,Installation took longer than expected
C0747,,92,4.0,"Outages every week, unacceptable service Too expensive for poor quality, thinking to cancel"
C2359,5.0,113,3.0,Billing is clear and correct each onth
C5295,1.0,129,3.0,Occasional iccups but nothing too bad
C3739,3.0,151,4.0,"Sometimes the speed drops at nigt Honestly, everything works fine for our family"
C2841,3.0,8,4.0,Email support replies after some dys Thank you.
C2437,5.0,101,3.0,"Very abd support, no one answers my calls"
C5363,2.0,96,1.0,"No issues lately, astisfied customer"
C5022,4.0,132,5.0,"GOOD VALUE FOR THE MONEY HONESTLLY, PHONE LINE IS FINE, INTERNET VARIES NO ISSUES LATELY, SATISFIED CUSTOMER!"
C1435,2.0,74,3.0,"Good value for the money oHnestly, price is a bit high compared to others Everything works fine for our family Good value for the money"
C3401,0.0,57,2.0,INTERNET IS SLOW AND UNSTABLE ALMOST EVERY EVENING THEY OVERCHARGED ME TWICE AND IGNORED MY EMAILS THANK YOU.!!!
C2041,,61,2.0,"The ew router works well, stable connection"
C1472,4.0,74,4.0,GOT A MINOR OUTAGE LAST WEEEK
C5061,2.0,44,1.0,"Honestly, the new routre works well, stabe connection thank you. Sometimes the speed drops at nnight Support agent was kind and solevd my issue quickly"
C3540,2.0,37,4.0,EVERYTHING WORKS FINE FR OUR FAMILY
C3751,3.0,44,5.0,"Average experience so far Good service overall, nothing major to complain about The new router works wel,l stable connection"
C3152,4.0,104,3.0,"SUPPORT AGENT WAS KIND AND SOLVED MY ISSUE QUICKLY HELPFUL CHAT SUPPORT, FAST RESOLUTION"
C1503,3.0,140,4.0,Got a minor outage last wek
C4659,2.0,32,4.0,Got a minor outage last week Suport agent was kind and soved my issue quickly Occasional hiccups but nothing too bad Emil support replies after some days
C0783,1.0,67,4.0,"TOO EXPENSIVE FOR POOR QUALITY, THINKING TO CANCL!!"
C3224,6.0,127,3.0,Average experience so fra Thank you.
C0358,1.0,1,4.0,"THE NEW ROUTER WRKS WELL, STABLE CONNECTION"
C1964,2.0,168,2.0,Service is oky but could be better
C1294,0.0,2,4.0,"Honestly, email support replies ater some days thank you."
C2243,1.0,108,2.0,"No issues lately, satisfied customr"
C5146,2.0,58,5.0,"HONESTLY, GREAT SERVICE AND FAIR PRICE"
C4406,3.0,129,5.0,BILLING IS CLEAR AND CORRECT EACH MONTH
C2392,1.0,27,3.0,"Heelpful chat support, fast resolution"
C0547,2.0,171,3.0,I have opened several tickets and nothing was fixed Thank yo.u!!!
C1780,0.0,124,3.0,"Terrible experience, worst provider I used!!"
C4043,1.0,136,5.0,Speed never matches hwat was promised in the contract
C3370,2.0,21,1.0,"SOMETIMES THE SPEED DROPS AT NIGHT HONESTLY, EVERYTHING WORKS FINE FOR OUR FAMILY"
C4529,6.0,53,3.0,Everything works fine for our family Billing is clear and correct each monh
C0994,0.0,66,2.0,"Good service overall, nothing major to complain about Thank you. Happy with the internet speed and support Good service overall, nothing major to complain about Installation took lnger than expected"
C3021,5.0,4,2.0,"Good srvice overall, nothing major to complain about"
C0627,,59,3.0,Speed never matches what was promised in the contract!!
C0862,3.0,112,4.0,Internet is low and unstable almost every evening
C4133,0.0,158,3.0,"OUTAGES EEVERY WEEK, UNACCEPTABLE SERVICE"
C2671,2.0,81,4.0,"Good value for the money Phone line is fine, internet varies"
C3360,0.0,138,4.0,"verage experience so far No issues lately, satisfied customer Happy with the internet speed and support Helpful chat support, fast resolution"
C3695,2.0,23,2.0,"It works, not amazing, not terrible!"
C1351,1.0,92,2.0,Occasional hhiccups but nothing too bad!!!
C2071,1.0,180,2.0,OCCASIONAL HICCUPS BUT NOTHING TOO BAD
C1699,1.0,45,2.0,"Phone line is fine, internet varies It works, ont amazing, not terrible Thank you."
C4146,3.0,41,3.0,"No issues lately, satisfied customer he new router works well, stable connection"
C0366,1.0,120,5.0,THEY OVERCHARGED ME TWICE AND IGNORED MY EMAILS THANK YOU. LATENCY AND DISCNONECTS MAKE IT IMPOSSIBLE TO WORK
C3787,1.0,105,4.0,"Price is a bit high compared to others Honestl, installation took longer than expected thank you."
C0219,1.0,6,3.0,"EVERYTHING WORKS FINE FOR OUR FAMILY HELPFUL CHAT SUPPORT, FAST RESOLUITON HONESTLY, BILLING IS CLEAR AND CORRRECT EACH MONTH!"
C0600,3.0,175,2.0,Installlation took longer than expected
C5234,2.0,127,1.0,"Happy with the internet speed and support Sometimes the speed drops at niight The new roouter works well, stable connection Great service and fair price"
C3784,0.0,146,4.0,"Honestly, happy wwith the internet speed and support thank you."
C3123,2.0,144,1.0,"Honestly, price is a bit high compared to others Good service ovreall, nothing major to complain about!"
C2816,5.0,70,1.0,Installation took longer thaan expected!!!
C3272,6.0,66,,Happy with the internet speed and supprt
C1593,2.0,33,2.0,AVERAGE EXPERIENCE SO FAR OCCASIONAL HICCUPS BUT NOTHING TOO BAD
C3250,4.0,97,4.0,Good value foor the money Thank you.!!!
C0310,2.0,52,3.0,They overcharged me twice and ignored my emaiils!
C0088,1.0,180,3.0,"Occasional hiccups but nothing too bad The new router works well, stable connection"
C2053,3.0,151,1.0,Email support replies after some days Price is a bit high copared to others Speed never matches what was promised in the contract Thank you. Latency and disconnects make it impossible to work
C0940,4.0,54,,Good vallue for the money
C1119,0.0,84,4.0,"No issues lately, satisfied customer Great service and fair price It works, not amazing, not terrible"
C2680,3.0,90,,"Great service and fair price The new outer works well, stable connection"
C3804,3.0,85,,"Honestly, no issues lately, satisfied customer"
C3972,1.0,13,,Service is okay but culd be better
C5446,2.0,141,1.0,Price is a bit high compared to others
C0559,3.0,122,,Support agent was kind and solved my issue quickly!
C0677,1.0,44,3.0,"Occasional hiccups but nothiing too baad Happy with the internet speed and support Thank you. Honestly, great service and fair price!"
