customerID,AvgDataUsage_GB,NumCalls,TVPackage,TechSupport
C2377,21.9,34,Yes,
C1537,79.0,45,Yes,No
C3307,46.6,44,Yes,Yes
C4989,61.4,46,Yes,Yes
C0018,29.0,39,No,Yes
C0310,19.5,35,No,Yes
C0536,17.7,51,No,No
C4316,21.3,40,No,Yes
C1358,38.7,37,No,Yes
C1821,34.9,49,No,No
C0886,378.5,41,Yes,
C0422,,37,No,No
C1481,66.6,39,Yes,No
C4928,33.5,55,No,Yes
C3337,48.7,40,Yes,No
C4619,20.5,48,Yes,No
C4948,41.7,46,No,Yes
C0951,66.0,32,Yes,No
C5084,27.1,35,No,Yes
C0208,,53,Yes,No
C3268,,37,Yes,No
C0131,10.7,35,Yes,No
C2114,43.3,33,No,No
C0527,15.2,39,No,No
C4209,5.4,44,Yes,No
C4186,33.3,44,No,
C0093,29.7,42,Yes,No
C1119,19.5,43,Yes,Yes
C3056,,47,No,Yes
C4767,22.7,45,No,Yes
C4463,,44,Yes,Yes
C2345,21.2,36,No,Yes
C1868,20.3,30,Yes,
C5052,67.6,41,No,No
C2431,39.9,43,No,No
C0006,62.4,39,Yes,No
C2631,6.0,35,Yes,No
C0642,33.8,38,Yes,
C0608,11.5,49,Yes,Yes
C2136,63.3,36,Yes,Yes
C4407,132.6,41,Yes,No
C2175,680.3,39,No,No
C2212,182.4,35,Yes,Yes
C4342,,48,No,No
C2088,19.3,36,Yes,Yes
C0763,30.6,33,No,No
C5104,37.4,33,No,No
C3514,7.9,44,No,No
C3673,41.7,47,No,Yes
C5214,71.0,49,Yes,Yes
C4737,7.8,42,Yes,No
C1980,,34,No,No
C2129,8.7,25,No,No
C1190,32.9,31,Yes,Yes
C2890,23.7,44,No,No
C0817,400.5,47,Yes,No
C3094,28.3,39,Yes,Yes
C4180,19.3,39,Yes,No
C2739,,23,No,No
C2514,11.0,37,No,No
C2628,37.0,44,No,
C2183,41.6,37,No,Yes
C3058,10.2,46,Yes,No
C3086,10.6,44,Yes,No
C0512,,24,No,Yes
C5406,61.7,39,No,Yes
C5275,,46,Yes,No
C0819,14.6,51,Yes,Yes
C0056,18.0,32,No,No
C2138,11.4,39,Yes,No
C2740,28.9,35,Yes,
C3146,24.9,41,Yes,No
C3711,72.1,34,No,No
C1488,4.2,43,Yes,No
C3321,,37,Yes,No
C3220,56.6,36,Yes,No
C1208,21.7,33,Yes,No
C0069,120.4,40,Yes,No
C4368,51.7,49,No,Yes
C0899,,42,No,No
C0531,30.0,40,Yes,No
C5431,34.2,36,Yes,No
C2211,40.4,36,Yes,No
C3395,76.7,52,Yes,No
C3953,17.8,34,No,
C2758,8.3,32,No,Yes
C1142,,36,Yes,
C1957,,41,Yes,No
C1356,41.3,39,No,No
C5402,43.2,36,Yes,No
C4009,15.8,42,Yes,No
C3128,40.3,42,No,No
C5117,31.3,38,Yes,Yes
C3394,29.9,43,Yes,No
C2683,18.8,44,No,
C3444,40.5,36,No,Yes
C2293,45.0,60,Yes,No
C4836,73.1,44,No,No
C2651,,37,No,Yes
C0978,8.7,46,Yes,Yes
C5135,69.8,49,Yes,No
C2827,54.8,52,No,No
C4834,14.2,33,No,Yes
C3977,48.8,38,No,No
C3659,20.5,47,No,No
C4489,,41,No,No
C0451,36.3,43,Yes,Yes
C5001,12.6,51,No,Yes
C0088,14.2,37,No,Yes
C0838,7.9,41,No,Yes
C2078,15.6,41,No,
C5184,91.3,34,Yes,No
C3592,15.1,28,No,Yes
C1064,69.4,34,Yes,No
C3780,19.9,33,Yes,Yes
C0268,34.5,45,No,No
C5458,10.9,47,No,No
C3751,68.0,40,Yes,No
C2953,4.6,47,No,Yes
C0514,90.3,45,No,No
C3581,11.1,40,No,No
C3556,120.2,48,No,No
C3890,27.2,42,No,Yes
C4588,,30,No,No
C4847,74.9,47,No,Yes
C1102,,34,No,No
C2713,103.6,31,No,No
C5153,30.5,43,Yes,No
C2304,14.7,47,No,No
C1028,28.3,40,Yes,No
C0773,340.8,36,No,No
C5049,11.1,44,No,No
C2208,532.1,43,No,Yes
C0012,155.7,42,Yes,No
C1828,27.4,41,Yes,No
C0624,38.3,36,No,No
C2824,52.8,45,Yes,
C3106,19.9,40,Yes,No
C5228,47.0,44,No,No
C5086,22.4,47,Yes,No
C1741,9.4,40,No,No
C0649,408.9,38,No,
C0865,45.7,29,Yes,Yes
C1928,66.1,43,Yes,No
C0871,31.0,38,Yes,No
C3164,54.6,46,Yes,No
C5465,30.3,39,No,No
C3463,,33,No,No
C2054,53.6,34,No,No
C3479,,47,Yes,
C1134,14.4,48,Yes,Yes
C3435,29.2,32,No,No
C0599,115.3,44,No,No
C3802,58.9,39,No,No
C4112,49.9,35,No,No
C0180,36.3,36,No,Yes
C3693,39.5,36,Yes,Yes
C0215,56.6,42,Yes,No
C1992,33.1,43,No,No
C1031,17.3,34,No,No
C3098,24.7,33,Yes,
C3925,15.9,44,No,Yes
C2122,24.5,37,No,Yes
C3186,60.9,40,No,Yes
C4549,18.5,41,Yes,No
C3084,,35,No,No
C0263,8.7,37,Yes,No
C3472,30.0,36,No,
C2392,10.3,43,Yes,No
C3298,12.6,48,No,No
C2997,50.1,36,No,No
C4320,32.5,43,No,Yes
C1051,14.9,48,No,Yes
C4454,9.7,48,No,Yes
C1318,11.0,44,Yes,No
C5217,53.3,40,No,Yes
C5099,52.8,45,No,Yes
C3127,28.4,33,No,Yes
C4223,27.7,31,No,No
C5362,43.0,45,Yes,No
C0564,24.2,33,No,No
C1614,41.0,41,No,No
C0420,37.9,41,No,Yes
C4690,31.9,35,No,No
C4838,36.7,20,Yes,No
C0764,88.8,39,Yes,
C0601,187.2,44,No,No
C3041,18.1,53,No,No
C3439,16.2,53,Yes,No
C4003,63.7,51,Yes,No
C5338,12.9,36,No,No
C2731,26.2,50,No,No
C0744,,48,Yes,No
C3312,39.6,30,No,Yes
C2040,52.5,44,No,No
C1516,14.0,40,No,Yes
C1517,,36,Yes,No
C5043,,35,No,Yes
C1663,73.8,30,Yes,No
C2445,51.5,37,No,No
C1099,35.6,39,Yes,No
C1305,,52,No,No
C1849,27.6,39,No,No
C4177,73.5,37,No,Yes
C0880,16.1,41,No,No
C1566,,36,No,Yes
C4461,62.4,44,No,No
C2316,26.1,37,No,No
C4033,11.6,37,No,
C3401,,46,Yes,No
C2743,44.7,48,Yes,
C4153,98.8,38,No,No
C2483,30.0,29,Yes,Yes
C5089,34.4,35,No,No
C2090,34.0,47,Yes,Yes
C0991,,28,No,No
C3010,,49,No,Yes
C0519,69.5,39,Yes,Yes
C0960,15.3,35,No,Yes
C0882,17.5,48,No,
C2167,21.2,40,Yes,No
C5114,17.9,31,No,No
C3919,33.6,42,No,No
C0372,,39,Yes,
C4981,67.8,32,No,No
C4284,20.9,36,Yes,Yes
C0499,31.5,46,Yes,No
C1075,16.1,37,Yes,No
C3989,16.5,42,Yes,No
C3943,25.2,42,Yes,Yes
C2586,45.4,37,No,Yes
C5071,14.9,39,No,No
C3800,51.7,50,Yes,No
C0314,26.5,39,No,Yes
C4568,120.8,53,No,No
C2056,,40,No,Yes
C3221,46.5,39,Yes,No
C2213,,41,Yes,No
C3626,28.8,29,Yes,No
C3451,12.6,48,No,No
C5320,79.2,45,No,Yes
C1050,4.6,43,Yes,Yes
C4888,41.6,31,No,No
C4473,30.9,39,Yes,
C1226,85.0,52,Yes,No
C5238,16.6,35,No,No
C3019,29.6,49,Yes,Yes
C2469,45.3,44,No,No
C1060,20.5,28,No,Yes
C3002,97.5,40,Yes,No
C1908,52.6,44,No,Yes
C3934,69.6,36,No,No
C4014,69.5,39,No,No
C4225,89.7,46,No,
C3354,,41,No,Yes
C3484,37.3,27,No,No
C2010,44.9,38,No,No
C3222,51.8,47,No,No
C4945,36.6,32,Yes,
C5164,36.2,40,No,
C4416,27.3,48,No,No
C2555,89.1,39,Yes,
C2468,15.1,36,No,No
C3757,29.5,48,No,
C3486,58.8,35,Yes,Yes
C3018,29.1,30,Yes,No
C4912,33.0,28,No,No
C2423,43.4,40,No,
C2534,597.8,31,No,No
C1999,33.8,37,Yes,Yes
C0961,19.7,39,No,No
C5284,24.3,48,No,No
C3328,70.3,41,Yes,No
C3570,64.0,36,No,No
C0868,77.7,43,Yes,
C1092,34.5,42,Yes,No
C4236,2.2,40,No,No
C0467,28.4,39,Yes,No
C5073,35.9,41,Yes,No
C3906,9.8,35,Yes,No
C0070,35.1,47,Yes,No
C2365,5.7,43,No,
C0269,33.1,34,No,No
C4374,32.9,50,No,Yes
C4391,23.8,32,No,No
C2141,11.8,32,Yes,
C4220,46.4,33,No,No
C0725,75.4,41,No,No
C5016,14.5,32,Yes,No
C5192,9.5,38,Yes,Yes
C3565,24.9,36,Yes,No
C0298,65.0,39,No,No
C4733,71.4,34,No,No
C2591,22.0,32,Yes,No
C3487,12.5,42,Yes,No
C2473,26.2,51,Yes,No
C2370,22.5,40,No,No
C4126,45.5,40,No,No
C0151,31.4,47,No,No
C3587,42.7,48,Yes,No
C2189,38.3,38,No,Yes
C0098,7.2,43,Yes,
C2515,,31,Yes,No
C3510,47.8,43,No,Yes
C0188,28.4,61,No,Yes
C3810,25.4,48,Yes,Yes
C0086,12.8,40,No,No
C1061,53.7,42,No,No
C3940,47.4,45,Yes,No
C1885,17.0,41,Yes,No
C2139,1.8,38,No,Yes
C3997,82.6,45,Yes,No
C2520,36.4,36,Yes,No
C3758,68.2,41,Yes,Yes
C5366,7.1,45,Yes,No
C3407,129.6,39,No,No
C2030,22.7,44,Yes,No
C1794,62.1,44,Yes,No
C5119,24.1,45,No,Yes
C3598,80.2,47,No,Yes
C3366,,45,No,Yes
C4242,21.1,34,Yes,No
C4221,13.8,39,Yes,No
C2277,15.4,41,Yes,Yes
C4941,24.7,42,No,Yes
C1776,54.1,28,Yes,Yes
C4614,60.8,40,No,No
C2271,8.7,35,Yes,Yes
C1220,7.0,41,No,Yes
C3888,149.4,37,No,Yes
C2034,8.5,39,No,Yes
C1804,,58,No,No
C5003,97.0,38,Yes,Yes
C1140,67.4,26,No,Yes
C0281,28.2,50,No,No
C3721,48.3,37,Yes,
C1810,34.2,46,Yes,Yes
C3286,64.4,33,No,
C2647,11.6,32,Yes,No
C1887,27.6,33,No,No
C5462,,42,Yes,No
C2716,21.5,34,No,Yes
C5433,79.0,47,Yes,Yes
C3955,44.7,42,No,No
C2804,29.0,46,No,No
C1958,21.1,44,No,No
C1824,21.8,50,Yes,No
C3176,4.1,44,No,No
C2226,59.8,30,No,No
C0797,23.1,45,No,
C2542,11.0,36,Yes,Yes
C2790,39.7,38,Yes,Yes
C2462,,32,Yes,No
C1726,33.0,40,No,No
C2625,549.4,40,Yes,Yes
C4362,11.6,37,No,Yes
C4202,101.5,40,Yes,No
C1129,94.2,43,Yes,No
C2488,1.5,35,No,No
C2943,23.7,38,No,Yes
C0648,,43,Yes,No
C0580,11.4,39,Yes,No
C1053,19.6,40,No,No
C4065,23.1,42,No,No
C1802,,49,No,
C0900,34.8,46,Yes,No
C0325,56.2,33,No,Yes
C0072,24.6,35,Yes,No
C4749,48.2,43,No,No
C3865,28.0,38,Yes,No
C1238,17.7,42,Yes,
C4558,46.2,44,No,Yes
C0493,9.2,32,No,No
C0816,69.2,26,No,No
C2781,20.7,49,Yes,No
C4183,,32,No,Yes
C4512,27.8,37,Yes,No
C4897,14.5,36,Yes,No
C4582,30.3,46,Yes,
C1956,33.3,50,No,No
C2261,23.6,35,Yes,No
C3470,11.8,43,No,No
C4977,63.2,41,Yes,No
C5419,52.9,49,No,Yes
C2228,135.8,49,No,Yes
C0691,3.3,40,Yes,Yes
C2252,12.3,43,Yes,Yes
C5155,51.6,39,Yes,Yes
C4539,37.2,31,No,No
C3392,83.4,37,No,Yes
C2540,14.0,39,No,No
C3296,98.5,42,No,No
C5262,51.6,51,Yes,
C3108,15.3,39,No,Yes
C4617,,43,Yes,Yes
C4041,8.8,44,Yes,
C2013,164.5,44,Yes,No
C3979,5.5,34,No,No
C5174,23.0,44,Yes,No
C3872,22.6,45,No,No
C2941,29.1,38,No,No
C3971,7.6,31,Yes,No
C3461,5.1,40,No,
C5145,4.1,38,Yes,
C1036,51.3,39,Yes,
C5041,11.0,51,No,Yes
C2863,30.7,32,Yes,No
C4756,16.5,36,No,No
C0288,45.9,42,Yes,Yes
C3992,42.4,41,No,No
C3410,27.8,48,No,No
C4991,37.5,33,Yes,No
C2585,,33,No,No
